date,roll_yield,near_by,deferred
2017-12-20,0.008912000612596028,TA801,TA805
2017-12-21,0.020052061285715378,TA801,TA805
2017-12-22,0.023424547343435128,TA801,TA805
2017-12-25,0.020059510100974513,TA801,TA805
2017-12-26,-0.013206168207473407,TA803,TA805
2017-12-27,-0.013172343380613691,TA803,TA805
2017-12-28,-0.0021822149722274687,TA803,TA805
2017-12-29,-0.00652528612439396,TA803,TA805
2018-01-02,-0.017241391174390844,TA803,TA805
2018-01-03,-0.002161772676961285,TA803,TA805
2018-01-04,-0.012793181819044267,TA803,TA805
2018-01-05,-0.0021318173967384366,TA803,TA805
2018-01-08,0.0,TA803,TA805
2018-01-09,0.0021078517694394063,TA803,TA805
2018-01-10,0.006345849348812672,TA803,TA805
2018-01-11,0.0063369131044486455,TA803,TA805
2018-01-12,0.006379585927980503,TA803,TA805
2018-01-15,0.0021137925178995607,TA803,TA805
2018-01-16,0.0,TA803,TA805
2018-01-17,0.004290311230353521,TA803,TA805
2018-01-18,0.0021432398870512206,TA803,TA805
2018-01-19,-0.008556151182565502,TA803,TA805
2018-01-22,-0.04036127806101011,TA803,TA805
2018-01-23,-0.033934342841130685,TA803,TA805
2018-01-24,0.0031298907377330237,TA805,TA809
2018-01-25,0.0020833334170577773,TA805,TA809
2018-01-26,-0.0,TA805,TA809
2018-01-29,0.0031375286108907795,TA805,TA809
2018-01-30,0.0052714826425998415,TA805,TA809
2018-01-31,0.013653095506256418,TA805,TA809
2018-02-01,0.019142213120183292,TA805,TA809
2018-02-02,0.020180639030505054,TA805,TA809
2018-02-05,0.013793127745888294,TA805,TA809
2018-02-06,0.01276597671041515,TA805,TA809
2018-02-07,0.01705761525105903,TA805,TA809
2018-02-08,0.021390464953773572,TA805,TA809
2018-02-09,0.01934104120265307,TA805,TA809
2018-02-12,0.036677911013597776,TA805,TA809
2018-02-13,0.04091951450961236,TA805,TA809
2018-02-14,0.04509748487403806,TA805,TA809
2018-02-22,0.07131788751840637,TA805,TA809
2018-02-23,0.0781734371602788,TA805,TA809
2018-02-26,0.08345461642959202,TA805,TA809
2018-02-27,0.08211148290609621,TA805,TA809
2018-02-28,0.08427812765600805,TA805,TA809
2018-03-01,0.08256922516091583,TA805,TA809
2018-03-02,0.08881024636074897,TA805,TA809
