date,roll_yield,near_by,deferred
2019-08-09,0.0015556424859869545,SR001,SR909
2019-08-12,0.08032535215630396,SR001,SR005
2019-08-13,0.07560911480878862,SR001,SR005
2019-08-14,0.07239839465224795,SR001,SR005
2019-08-15,0.06965487030602166,SR001,SR005
2019-08-16,0.060731946789211455,SR001,SR005
2019-08-19,0.0465125596078956,SR001,SR005
2019-08-20,0.03813259408812725,SR001,SR005
2019-08-21,0.03944136061870637,SR001,SR005
2019-08-22,0.058158368546860864,SR001,SR005
2019-08-23,0.05447192292136221,SR001,SR005
2019-08-26,0.045980034032386256,SR001,SR005
2019-08-27,0.04744968055228661,SR001,SR005
2019-08-28,0.0528103524676385,SR001,SR005
2019-08-29,0.05646694088743883,SR001,SR005
2019-08-30,0.05243016092175139,SR001,SR005
2019-09-02,0.0483790720519213,SR001,SR005
2019-09-03,0.05503721485491997,SR001,SR005
2019-09-04,0.058114537477201446,SR001,SR005
2019-09-05,0.046315935557284575,SR001,SR005
2019-09-06,0.0451799172523773,SR001,SR005
2019-09-09,0.052905652528433884,SR001,SR005
2019-09-10,0.04469870236822442,SR001,SR005
2019-09-11,0.04541810412977208,SR001,SR005
2019-09-12,0.045146750342328845,SR001,SR005
2019-09-16,0.049614942745470826,SR001,SR005
2019-09-17,0.04635001153854212,SR001,SR005
2019-09-18,0.04065027392678059,SR001,SR005
2019-09-19,0.042790389243219096,SR001,SR005
2019-09-20,0.05200987751931041,SR001,SR005
2019-09-23,0.05603450164317327,SR001,SR005
2019-09-24,0.046945816399949124,SR001,SR005
2019-09-25,0.048089468217786646,SR001,SR005
2019-09-26,0.054806054726853654,SR001,SR005
2019-09-27,0.047554972252764116,SR001,SR005
2019-09-30,0.054422014619044445,SR001,SR005
2019-10-08,0.04949799531461125,SR001,SR005
2019-10-09,0.0510142538466094,SR001,SR005
2019-10-10,0.05248578275820823,SR001,SR005
2019-10-11,0.0542035002298554,SR001,SR005
2019-10-14,0.055207898522063606,SR001,SR005
2019-10-15,0.054556877228408795,SR001,SR005
2019-10-16,0.0539761209727059,SR001,SR005
2019-10-17,0.05598406151201954,SR001,SR005
2019-10-18,0.06520209165187899,SR001,SR005
2019-10-21,0.08038134725432733,SR001,SR005
2019-10-22,0.06832251210457277,SR001,SR005
2019-10-23,0.06392600433892676,SR001,SR005
2019-10-24,0.0644120531906303,SR001,SR005
2019-10-25,0.06534531246329432,SR001,SR005
2019-10-28,0.06903153370837815,SR001,SR005
2019-10-29,0.07780014607951329,SR001,SR005
2019-10-30,0.07974432081199695,SR001,SR005
2019-10-31,0.08298401426504079,SR001,SR005
2019-11-01,0.09236426662600654,SR001,SR005
2019-11-04,0.07376333390068165,SR001,SR005
2019-11-05,0.07870862581569889,SR001,SR005
2019-11-06,0.08138600216475775,SR001,SR005
2019-11-07,0.06184667494569193,SR001,SR005
2019-11-08,0.062327234995693426,SR001,SR005
2019-11-11,0.06296594446958491,SR001,SR005
2019-11-12,0.05609656432460304,SR001,SR005
2019-11-13,0.06047721000536769,SR001,SR005
2019-11-14,0.06242377686684944,SR001,SR005
2019-11-15,0.05793881010878909,SR001,SR005
2019-11-18,0.05580296331644884,SR001,SR005
2019-11-19,0.060989777064070994,SR001,SR005
2019-11-20,0.0551850545853632,SR001,SR005
2019-11-21,0.05482826994364261,SR001,SR005
2019-11-22,0.054838193266974596,SR001,SR005
2019-11-25,0.05642119281973214,SR001,SR005
2019-11-26,0.06407483386258536,SR001,SR005
2019-11-27,0.07470177245011579,SR001,SR005
2019-11-28,0.08033998644954679,SR001,SR005
2019-11-29,0.0810416135048955,SR001,SR005
2019-12-02,0.07109337428946953,SR001,SR005
2019-12-03,0.07258198502546459,SR001,SR005
2019-12-04,0.07290027107797387,SR001,SR005
2019-12-05,0.07204275612134411,SR001,SR005
2019-12-06,0.06808491339240266,SR001,SR005
2019-12-09,0.05326226857752808,SR001,SR005
2019-12-10,0.047382304728004726,SR001,SR005
2019-12-11,0.03642338843192976,SR001,SR005
2019-12-12,0.038661030551529196,SR001,SR005
2019-12-13,0.04625102943122532,SR001,SR005
2019-12-16,-0.03748670605661873,SR005,SR009
2019-12-17,-0.037479818736883275,SR005,SR009
2019-12-18,-0.03249228641604261,SR005,SR009
